place_id,place_name,place_description,category,city,price,rating,description_location,place_img,gallery_photo_img1,gallery_photo_img2,gallery_photo_img3,,,
11,Curug Luhur Waterfall,"Sekitaran Bandung banyak sekali curug dari yang kekinian, terlupakan, kurang terdengar sampai baru dengar. Salah satunya adalah curug Luhur Cibodas di daerah Maribaya Lembang di sekitar area ini ada 3 curug, penduduk lokal menyebutnya curug Cibodas pernah disebut juga curug Keraton .. tapi sekarang lebih dikenal curug Luhur, selain yang ini ada juga curug Lalay yang tidak terlalu tinggi dan satu lagi curug yang paling tinggi diarea sini yaitu curug Luhur .. posisinya lebih kedalam lagi sekitar 3 km dari pos masuk, masih jarang orang yang kesana",Cagar Alam,Bandung,"Rp45,000",4.2,"5PW6+3VR, Jl. Barukisu Kp. Gandok, Suntenjaya, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391",https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/11.%20Curug%20Luhur%20Waterfall/main/11.%20Curug%20Luhur%20Waterfall/Utama/Curug-Luhur-ade_martha_dedex.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/11.%20Curug%20Luhur%20Waterfall/gallery_photo/ezgif.com-webp-to-png.png,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/11.%20Curug%20Luhur%20Waterfall/gallery_photo/curug-luhur.jpeg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/11.%20Curug%20Luhur%20Waterfall/gallery_photo/Curug-Luhur-wisatanesia.jpg,,,https://www.google.com/maps/search/Curug+Luhur+Waterfall
12,Curug Malela,"Curug Malela adalah air terjun yang terletak di Kabupaten Bogor, Jawa Barat, Indonesia. Air terjun ini menawarkan pemandangan yang memukau dengan air yang jatuh dari ketinggian dan ditambah dengan latar belakang hutan yang hijau. Suasana sejuk dan alami membuat Curug Malela menjadi tempat yang cocok untuk bersantai dan menikmati keindahan alam. Pengunjung dapat berjalan menyusuri aliran sungai menuju air terjun dan merasakan keindahan alam yang menyejukkan.",Cagar Alam,Bandung,"Rp5,500",4.5,"Sindangjaya, Kec. Gununghalu, Kabupaten Bandung Barat, Jawa Barat",https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/12.%20Curug%20Malela/main/lokasi-dan-harga-tiket-masuk-curug-malela-bandung-jawa-barat.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/12.%20Curug%20Malela/gallery_photo/Curug-Malela.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/12.%20Curug%20Malela/gallery_photo/Curug_Malela-2021_11_15-14_28_30_50d2376d758cb6b2eb261d476fd0853b_400x267_thumb.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/12.%20Curug%20Malela/gallery_photo/yrvumiomhnxi4vp43syv.png,,,https://www.google.com/maps/search/Curug+Malela
13,Curug Tilu Leuwi Opat,"Curug Tilu Leuwi Opat adalah air terjun yang terletak di Kabupaten Bandung, Jawa Barat, Indonesia. Air terjun ini menawarkan keindahan alam yang spektakuler dengan tiga tingkatan air terjun yang mengalir mempesona. Pengunjung dapat menikmati pemandangan yang menakjubkan, suara gemuruh air terjun, dan segarnya air yang jatuh. Curug Tilu Leuwi Opat juga dikelilingi oleh hutan hijau yang memperkaya pengalaman alam. Tempat ini merupakan pilihan yang ideal bagi wisatawan yang ingin menikmati keindahan alam dan suasana yang tenang.",Cagar Alam,Bandung,"Rp10,000",4.4,"6H5J+MRR, Ciwangun Indah Cp, Cihanjuang Rahayu, Parongpong, West Bandung Regency, West Java 40559",https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/13.%20Curug%20Tilu%20Leuwi%20Opat/main/wandy-payz.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/13.%20Curug%20Tilu%20Leuwi%20Opat/gallery_photo/Curug-Tilu-Leuwi-Opat.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/13.%20Curug%20Tilu%20Leuwi%20Opat/gallery_photo/curug-tilu-leuwi-opat-e1573294296444.jpg,,,,https://www.google.com/maps/search/Curug+Tilu+Leuwi+Opat
14,Desa Wisata Kampung Cai Ranca Upas,"Desa ini menawarkan suasana pedesaan yang alami dan keindahan alam yang memukau, dengan pemandangan sawah, perkebunan teh, dan udara segar yang menyejukkan.","Cagar Alam,Desa Wisata",Bandung,"Rp10,000",4.7,"Desa Alam Endah, Kecamatan Ranca Upas, Bandung, Jawa Barat",https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/14.%20Desa%20Wisata%20Kampung%20Cai%20Ranca%20Upas/main/kampung-cai-ranca-upas-jawa-barat.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/14.%20Desa%20Wisata%20Kampung%20Cai%20Ranca%20Upas/gallery_photo/Kampung-Cai-Ranca-Upas-Bandung.png,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/14.%20Desa%20Wisata%20Kampung%20Cai%20Ranca%20Upas/gallery_photo/Kampung-Cai-Ranca-Upas.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/14.%20Desa%20Wisata%20Kampung%20Cai%20Ranca%20Upas/gallery_photo/camping-ranca-upas-ciwidey-bandung.jpg,,,https://www.google.com/maps/search/Desa+Wisata+Kampung+Cai+Ranca+Upas
15,Dusun Bambu,"Dusun Bambu adalah destinasi wisata keluarga yang terletak di Lembang, Bandung, Indonesia. Tempat ini menawarkan pengalaman yang unik dengan suasana pedesaan, pemandangan pegunungan, dan area hijau yang luas. Pengunjung dapat menikmati berbagai aktivitas seperti naik perahu, berkemah, berkeliling taman bunga, dan menikmati kuliner tradisional. Dusun Bambu juga memiliki area bermain anak, taman bermain air, dan penginapan yang nyaman. Tempat ini cocok untuk rekreasi keluarga dan bersantai sambil menikmati keindahan alam.",Taman Hiburan,Bandung,"Rp20,000",4.5,"Jl. Kolonel Masturi No.KM. 11, Kertawangi, Kec. Cisarua, Kabupaten Bandung Barat, Jawa Barat 40551",https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/15.%20Dusun%20Bambu/main/dusun-bambu.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/15.%20Dusun%20Bambu/gallery_photo/624075ff5d605.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/15.%20Dusun%20Bambu/gallery_photo/Dusun-Bambu-Lembang-750x450.jpg,,,,https://www.google.com/maps/search/Dusun+Bambu
16,Gua Pawon,"Gua Pawon adalah sebuah gua alami dan situs purbakala yang terletak di Desa Gunung Masigit, Kecamatan Cipatat, Padalarang, Kabupaten Bandung Barat, atau sekitar 25 km arah barat Kota Bandung. Merupakan sebuah tempat yang penting bagi orang Sunda karena di sanalah tempat berkumpulnya sesepuh Sunda yang sekarang menduduki bagian barat pulau Jawa. Di sana pernah ditemukan kerangka manusia purba yang konon adalah nenek moyang orang Sunda (masih diteliti di balai Arkeolog Bandung).","Budaya,Cagar Alam",Bandung,"Rp10,000",4.5,"Kp. Cibukur, Gunungmasigit, Kec. Cipatat, Kabupaten Bandung Barat, Jawa Barat 40554",https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/16.%20Gua%20Pawon/main/large-shutterstock-1857884944-dea0b3a78785efba51bd82f96760fc13.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/16.%20Gua%20Pawon/gallery_photo/20151120212731-1-gua-pawon-002-isn.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/16.%20Gua%20Pawon/gallery_photo/IMG_20082021_192745__822_x_430_piksel_.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/16.%20Gua%20Pawon/gallery_photo/gua-pawon-jawa-barat.jpg,,,https://www.google.com/maps/search/Gua+Pawon
17,Gunung Lalakon,"Gunung Lalakon adalah gunung yang terletak di Kabupaten Garut, Jawa Barat, Indonesia. Gunung ini memiliki pemandangan alam yang memukau dengan hutan yang hijau dan udara yang segar. Pendakian ke puncak Gunung Lalakon menawarkan pengalaman petualangan yang menantang dengan jalur yang menanjak. Dari puncaknya, pengunjung dapat menikmati panorama yang memukau termasuk lembah dan gunung-gunung di sekitarnya. Gunung Lalakon cocok untuk para pendaki yang ingin mengeksplorasi keindahan alam dan menikmati kegiatan outdoor.","Cagar Alam,Taman Nasional",Bandung,Gratis,4.8,"Situwangi, Cihampelas, West Bandung Regency, West Java",https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/17.%20Gunung%20Lalakon/main/th1_2020102010051989908.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/17.%20Gunung%20Lalakon/gallery_photo/105781_gunung-lalakon-soreang-bandung_665_374.png,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/17.%20Gunung%20Lalakon/gallery_photo/gunung-lalakon.png,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/17.%20Gunung%20Lalakon/gallery_photo/sejarah-gunung-padang1.jpg,,,https://www.google.com/maps/search/Gunung+Lalakon
18,Gunung Manglayang,"Gunung Manglayang adalah gunung yang terletak di Kabupaten Bandung, Jawa Barat, Indonesia. Dengan ketinggian sekitar 1.806 meter, gunung ini menawarkan pendakian menantang dan pemandangan alam yang memukau. Di Gunung Manglayang, pengunjung dapat menikmati keindahan hutan, air terjun, dan pemandangan Kota Bandung. Gunung Manglayang juga menjadi habitat bagi berbagai flora dan fauna yang melimpah, menjadikannya tempat yang ideal untuk kegiatan pendakian dan petualangan alam.","Cagar Alam,Taman Nasional",Bandung,"Rp7,500",4.5,"Di antara Kota Bandung dan Kabupaten Sumedang, Jawa Barat, Indonesia.",https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/18.%20Gunung%20Manglayang/main/Mont_Manglayang.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/18.%20Gunung%20Manglayang/gallery_photo/Gunung-Manglayang.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/18.%20Gunung%20Manglayang/gallery_photo/b8aa2bbfceb25696daf37198c9c457a0.png,,,,https://www.google.com/maps/search/Gunung+Manglayang
19,Happyfarm Ciwidey,"Objek wisata alam dan edukasi tengah banyak menjamur akhir-akhir ini. Selain De Ranch dan Farmhouse Lembang, ada juga Happy Farm Ciwidey di Bandung. Objek wisata ini masih terbilang baru, karena baru bulan Juni 2019 ini berdiri. Konsepnya hampir sama, wisata alam dan peternakan dengan unsur edukasi. Sangat cocok menjadi tujuan wisata keluarga, terutama untuk anak-anak. Dan semakin seru karena bermain di area outdoor dengan udara sejuk.",Cagar Alam,Bandung,"Rp15,000",4.3,"Cikembang, Panundaan, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973",https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/19.%20Happyfarm%20Ciwidey/main/54512746_157937735227169_8851216446142416406_n-FILEminimizer.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/19.%20Happyfarm%20Ciwidey/gallery_photo/Daya-Tarik-Dimiliki-Happy-Farm-Ciwidey-1.png,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/19.%20Happyfarm%20Ciwidey/gallery_photo/Happy-Farm-Ciwidey2.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/19.%20Happyfarm%20Ciwidey/gallery_photo/alamat-dan-rute-lokasi-happy-farm-ciwidey.jpg,,,https://www.google.com/maps/search/Happyfarm+Ciwidey
20,Jendela Alam ,"Tidak hanya menikmati alam sekitar yang masih sejuk dan hijau, anak anda juga bisa mengikuti berbagai kegiatan edukasi yang bermanfaat. Berbagai kegiatan edukasi disediakan dan dirancang sedemikian rupa sehingga menarik buat keluarga. Kegiatan edukasi yang tersedia cocok untuk anak mulai dari usia TK sampai dengan SMA.",Taman Hiburan,Bandung,"Rp20,000",4.4,"Komplek Graha Puspa, Jl. Sersan Bajuri No.KM, RW.5, Cihideung, Kec. Parongpong, Kabupaten Bandung Barat, Jawa Barat 40559",https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/20.%20Jendela%20Alam%20/main/jendela-alam.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/20.%20Jendela%20Alam%20/gallery_photo/Jendela%20Alam%20parongpong%20Lembang.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/20.%20Jendela%20Alam%20/gallery_photo/Jendela-Alam-Lembang.jpg,,,,https://www.google.com/maps/search/Jendela+Alam+
21,Kawah Putih,"Kawah Putih adalah sebuah tempat wisata di Jawa Barat yang terletak di Desa Alam Endah, Kecamatan Rancabali, Kabupaten Bandung Jawa Barat yang terletak di kaki Gunung Patuha. Kawah putih merupakan sebuah danau yang terbentuk dari letusan Gunung Patuha. Tanah yang bercampur belerang di sekitar kawah ini berwarna putih, lalu warna air yang berada di kawah ini berwarna putih kehijauan, yang unik dari kawah ini adalah airnya kadang berubah warna. Danau Kawah Putih sendiri berada pada ketinggian 2194 m tapi luas total Danau Kawah Putih 25 ha yang dipakai wisata 5 ha dan lokasi kawah sendiri 3 ha.","Cagar Alam,Taman Nasional",Bandung,"Rp81,000",4.5,"Desa Alam Endah, Kecamatan Rancabali, Kabupaten Bandung Jawa Barat yang terletak di kaki Gunung Patuha.",https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/21.%20Kawah%20Putih/main/cara-menuju-ke-wisata-kawah-putih-ciwidey-cantik-nian-bikin-ogah-pulang-LJDtNcdNbe.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/21.%20Kawah%20Putih/gallery-photo/615070d94add1.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/21.%20Kawah%20Putih/gallery-photo/kawasan-wisata-kawah-putih-2_169.jpeg,,,,https://www.google.com/maps/search/Kawah+Putih
22,Kawah Rengganis Cibuni,"Kawah Rengganis Cibuni adalah kawah aktif yang terletak di Garut, Jawa Barat, Indonesia. Kawah ini dikelilingi oleh perkebunan teh yang hijau. Pengunjung dapat menyaksikan fenomena geologi seperti uap belerang dan air panas yang mengalir di sekitar kawah. Kawah Rengganis Cibuni menawarkan pemandangan alam yang eksotis dan pengalaman mendebarkan bagi para pengunjung yang tertarik dengan keindahan alam dan geologi.","Cagar Alam,Taman Nasional",Bandung,"Rp5,000",4.4,"Patengan, Kec. Rancabali, Kabupaten Bandung, Jawa Barat 40973",https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/22.%20Kawah%20Rengganis%20Cibuni/main/Kolam%20Pancuran%20di%20Kawah%20Rengganis.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/22.%20Kawah%20Rengganis%20Cibuni/gallery-photo/44951160-5ecc-4d62-94f0-66e1ce9e53db_169.jpeg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/22.%20Kawah%20Rengganis%20Cibuni/gallery-photo/Fasilitas-di-Kawah-Rengganis.jpg,https://storage.googleapis.com/travelee-capstone-projects.appspot.com/places/22.%20Kawah%20Rengganis%20Cibuni/gallery-photo/maxresdefault.jpg,,,https://www.google.com/maps/search/Kawah+Rengganis+Cibuni
